total_return,sharpe,max_dd,ticker,hurst,vr_p,signals
0.051309554332678475,3.850133687518488,0.0,TEL,0.45,0.1,1
0.0,0.0,0.0,TEL,0.45,0.05,0
0.0,0.0,0.0,TEL,0.5,0.1,0
0.051309554332678475,3.850133687518488,0.0,TEL,0.5,0.05,1
0.051309554332678475,3.850133687518488,0.0,TEL,0.55,0.1,1
0.0,0.0,0.0,TEL,0.55,0.05,0
0.0,0.0,0.0,KEY,0.45,0.1,0
-0.017354712720071497,-3.1136354101949344,-0.0209972139721204,KEY,0.45,0.05,4
-0.017354712720071497,-3.1136354101949344,-0.0209972139721204,KEY,0.5,0.1,4
0.0,0.0,0.0,KEY,0.5,0.05,0
-0.017354712720071497,-3.1136354101949344,-0.0209972139721204,KEY,0.55,0.1,4
0.0,0.0,0.0,KEY,0.55,0.05,0
0.0,0.0,0.0,SONY,0.45,0.1,0
0.0,0.0,0.0,SONY,0.45,0.05,0
0.0,0.0,0.0,SONY,0.5,0.1,0
0.0,0.0,0.0,SONY,0.5,0.05,0
0.0,0.0,0.0,SONY,0.55,0.1,0
0.0,0.0,0.0,SONY,0.55,0.05,0
0.0,0.0,0.0,TOY,0.45,0.1,0
0.0,0.0,0.0,TOY,0.45,0.05,0
0.0,0.0,0.0,TOY,0.5,0.1,0
0.0,0.0,0.0,TOY,0.5,0.05,0
0.0,0.0,0.0,TOY,0.55,0.1,0
0.0,0.0,0.0,TOY,0.55,0.05,0
0.0,0.0,0.0,FRT,0.45,0.1,0
0.0014974460442342963,0.21380288891343632,-0.05982651579757825,FRT,0.45,0.05,9
0.0,0.0,0.0,FRT,0.5,0.1,0
0.0,0.0,0.0,FRT,0.5,0.05,0
0.0014974460442342963,0.21380288891343632,-0.05982651579757825,FRT,0.55,0.1,9
0.0014974460442342963,0.21380288891343632,-0.05982651579757825,FRT,0.55,0.05,9
0.0,0.0,0.0,AJI,0.45,0.1,0
0.0,0.0,0.0,AJI,0.45,0.05,0
0.0,0.0,0.0,AJI,0.5,0.1,0
0.0,0.0,0.0,AJI,0.5,0.05,0
0.0,0.0,0.0,AJI,0.55,0.1,0
0.0,0.0,0.0,AJI,0.55,0.05,0
0.0,0.0,0.0,MHI,0.45,0.1,0
0.0,0.0,0.0,MHI,0.45,0.05,0
0.0,0.0,0.0,MHI,0.5,0.1,0
-0.031761337085635666,-4.188757466955178,-0.04132817503830721,MHI,0.5,0.05,7
-0.031761337085635666,-4.188757466955178,-0.04132817503830721,MHI,0.55,0.1,7
0.0,0.0,0.0,MHI,0.55,0.05,0
-0.017315405902815884,-1.2817838124946166,-0.049200096774560276,HIT,0.45,0.1,12
-0.017315405902815884,-1.2817838124946166,-0.049200096774560276,HIT,0.45,0.05,12
0.0,0.0,0.0,HIT,0.5,0.1,0
-0.017315405902815884,-1.2817838124946166,-0.049200096774560276,HIT,0.5,0.05,12
0.0,0.0,0.0,HIT,0.55,0.1,0
0.0,0.0,0.0,HIT,0.55,0.05,0
-0.0164306004792818,-1.2230671961977002,-0.05773386417160653,KHI,0.45,0.1,9
-0.0164306004792818,-1.2230671961977002,-0.05773386417160653,KHI,0.45,0.05,9
0.0,0.0,0.0,KHI,0.5,0.1,0
0.0,0.0,0.0,KHI,0.5,0.05,0
0.0,0.0,0.0,KHI,0.55,0.1,0
-0.0164306004792818,-1.2230671961977002,-0.05773386417160653,KHI,0.55,0.05,9
-0.04395604395604391,-4.341633233488644,-0.05934065934065924,TEP,0.45,0.1,17
0.0,0.0,0.0,TEP,0.45,0.05,0
-0.04395604395604391,-4.341633233488644,-0.05934065934065924,TEP,0.5,0.1,17
0.0,0.0,0.0,TEP,0.5,0.05,0
0.0,0.0,0.0,TEP,0.55,0.1,0
-0.04395604395604391,-4.341633233488644,-0.05934065934065924,TEP,0.55,0.05,17
0.0,0.0,0.0,OSG,0.45,0.1,0
-0.07841208443095782,-9.501643459767164,-0.0816024989051859,OSG,0.45,0.05,17
0.0,0.0,0.0,OSG,0.5,0.1,0
-0.07841208443095782,-9.501643459767164,-0.0816024989051859,OSG,0.5,0.05,17
0.0,0.0,0.0,OSG,0.55,0.1,0
-0.07841208443095782,-9.501643459767164,-0.0816024989051859,OSG,0.55,0.05,17
-0.069656715692892,-8.13785213164738,-0.069656715692892,ENE,0.45,0.1,16
-0.069656715692892,-8.13785213164738,-0.069656715692892,ENE,0.45,0.05,16
-0.069656715692892,-8.13785213164738,-0.069656715692892,ENE,0.5,0.1,16
-0.069656715692892,-8.13785213164738,-0.069656715692892,ENE,0.5,0.05,16
0.0,0.0,0.0,ENE,0.55,0.1,0
-0.069656715692892,-8.13785213164738,-0.069656715692892,ENE,0.55,0.05,16
0.021647095710535025,3.850133687518488,0.0,TAK,0.45,0.1,2
0.0,0.0,0.0,TAK,0.45,0.05,0
0.0,0.0,0.0,TAK,0.5,0.1,0
0.0,0.0,0.0,TAK,0.5,0.05,0
0.021647095710535025,3.850133687518488,0.0,TAK,0.55,0.1,2
0.021647095710535025,3.850133687518488,0.0,TAK,0.55,0.05,2
0.0,0.0,0.0,EIS,0.45,0.1,0
0.0,0.0,0.0,EIS,0.45,0.05,0
0.0,0.0,0.0,EIS,0.5,0.1,0
0.0,0.0,0.0,EIS,0.5,0.05,0
0.0,0.0,0.0,EIS,0.55,0.1,0
0.0,0.0,0.0,EIS,0.55,0.05,0
0.0,0.0,0.0,OLY,0.45,0.1,0
